"","X","n","p","l","t1","t2"
"289",289,50,0.8,4,0.0519960498809814,0.0299803161621094
"290",290,50,0.8,5,0.0544387912750244,0.0357642436027527
"291",291,50,0.9,1,0.0871586680412293,0.0209187030792236
"292",292,50,0.9,2,0.0859786319732666,0.0397830367088318
"293",293,50,0.9,3,0.0889284086227417,0.0604378819465637
"294",294,50,0.9,4,0.0886002230644226,0.0754944634437561
"295",295,50,0.9,5,0.088551037311554,0.081848495006561
"296",296,50,1,1,0.254021642208099,0.206202087402344
"297",297,50,1,2,0.252596011161804,0.36599413394928
"298",298,50,1,3,0.240463678836823,0.485398771762848
"299",299,50,1,4,0.244980618953705,0.674437866210937
"300",300,50,1,5,0.236642143726349,0.795287013053894
"301",301,50,1.1,1,0.254729917049408,0.0882694482803345
"302",302,50,1.1,2,0.267471287250519,0.206494376659393
"303",303,50,1.1,3,0.256517128944397,0.324174175262451
"304",304,50,1.1,4,0.262782428264618,0.458450183868408
"305",305,50,1.1,5,0.257267122268677,0.574380555152893
"306",306,50,1.2,1,0.284903380870819,0.0910887503623962
"307",307,50,1.2,2,0.287646534442902,0.208652808666229
"308",308,50,1.2,3,0.292764399051666,0.328598651885986
"309",309,50,1.2,4,0.290948431491852,0.468224945068359
"310",310,50,1.2,5,0.293601880073547,0.666896135807037
"311",311,50,1.3,1,0.325075724124908,0.117584428787231
"312",312,50,1.3,2,0.335946381092072,0.257758467197418
"313",313,50,1.3,3,0.334271972179413,0.387172913551331
"314",314,50,1.3,4,0.335862276554108,0.57252872467041
"315",315,50,1.3,5,0.336735224723816,0.758522245883942
"316",316,50,1.4,1,0.397506573200226,0.147167422771454
"317",317,50,1.4,2,0.403942790031433,0.339083206653595
"318",318,50,1.4,3,0.412437543869019,0.535706641674042
"319",319,50,1.4,4,0.416481597423553,0.773352582454681
"320",320,50,1.4,5,0.413246593475342,0.96103529214859
"321",321,50,1.5,1,0.500997891426086,0.193184680938721
"322",322,50,1.5,2,0.509366827011108,0.423721227645874
"323",323,50,1.5,3,0.515450823307037,0.709582455158234
"324",324,50,1.5,4,0.522073657512665,1.03657897949219
"325",325,50,1.5,5,0.522337052822113,1.31101348638535
"326",326,50,1.6,1,0.647594933509827,0.271817736625671
"327",327,50,1.6,2,0.649480865001678,0.594023525714874
"328",328,50,1.6,3,0.65209924697876,0.980185492038727
"329",329,50,1.6,4,0.669285085201264,1.38683007478714
"330",330,50,1.6,5,0.685659551620482,1.92100122213364
"331",331,50,1.7,1,0.868330409526825,0.408025145530701
"332",332,50,1.7,2,0.894156708717346,0.923701803684235
"333",333,50,1.7,3,0.898473904132843,1.40299971103668
"334",334,50,1.7,4,0.910078706741333,1.86328381061554
"335",335,50,1.7,5,0.925546200275421,2.47371381998062
"336",336,50,1.8,1,1.22914653778076,0.597902483940124
"337",337,50,1.8,2,1.26808182477951,1.33522149562836
"338",338,50,1.8,3,1.25903285264969,2.11981279611588
"339",339,50,1.8,4,1.2725310754776,2.89472306966782
"340",340,50,1.8,5,1.26787336349487,3.79219841718674
"341",341,50,1.9,1,1.76165439367294,0.884197964668274
"342",342,50,1.9,2,1.76362998962402,1.9623534488678
"343",343,50,1.9,3,1.78102477312088,3.08843351364136
"344",344,50,1.9,4,1.68462955951691,4.09634117841721
"345",345,50,1.9,5,1.73265124797821,5.57888510942459
"346",346,50,2,1,2.41932050228119,1.31093899726868
"347",347,50,2,2,2.49223191738129,2.78010207653046
"348",348,50,2,3,2.43167666196823,4.45841159343719
"349",349,50,2,4,2.46276349782944,6.55941939115524
"350",350,50,2,5,2.39456648588181,7.85266087293625
