gbm133a,ModuleColor,K.WholeNetwork,K.Intra,K.Out,Gene.Symbol,LocusLink,Set55Coxpvalue,HazardRatio55,HRlowerCI55,HRupperCI55,HRSD55,Set65Coxpvalue,Set65HazardRatio,Set65HRlower95,Set65HRupper95,Set65HRsd,Set55_ORI_10219_10218,Set55_ORI_10735_10730,Set55_ORI_14605_14585,Set55_ORI_14607_14586,Set55_ORI_14609_14587,Set55_ORI_14617_14591,Set55_ORI_14623_14594,Set55_ORI_14629_14597,Set55_ORI_14631_14598,Set55_ORI_14633_14599,Set55_ORI_14635_14600,Set55_ORI_14639_14602,Set55_ORI_15426_15407,Set55_ORI_15428_15408,Set55_ORI_15430_15409,Set55_ORI_15432_15410,Set55_ORI_15434_15411,Set55_ORI_15438_15414,Set55_ORI_15440_15415,Set55_ORI_15442_15417,Set55_ORI_15444_15418,Set55_ORI_15446_15419,Set55_ORI_15448_15420,Set55_ORI_15450_15421,Set55_ORI_15452_15422,Set55_ORI_15454_15424,Set55_ORI_15456_15425,Set55_ORI_15479_15471,Set55_ORI_15662_15649,Set55_ORI_4368_4367,Set55_ORI_4378_4377,Set55_ORI_4388_4387,Set55_ORI_4770_4761,Set55_ORI_4772_4762,Set55_ORI_4774_4763,Set55_ORI_4776_4764,Set55_ORI_4778_4765,Set55_ORI_4780_4766,Set55_ORI_4782_4767,Set55_ORI_4784_4768,Set55_ORI_4786_4769,Set55_ORI_6922_6907,Set55_ORI_6924_6908,Set55_ORI_6926_6909,Set55_ORI_6928_6910,Set55_ORI_6930_6911,Set55_ORI_6932_6912,Set55_ORI_6934_6913,Set55_ORI_6936_6914,Set55_ORI_6938_6915,Set55_ORI_6940_6916,Set55_ORI_6944_6918,Set55_ORI_6946_6919,Set55_ORI_6948_6920,Set55_ORI_6950_6921,Set65_21484_21474,Set65_21486_21475,Set65_21488_21476,Set65_21490_21477,Set65_21492_21478,Set65_21494_21479,Set65_21496_21480,Set65_22566_22553,Set65_22567_22554,Set65_22568_22555,Set65_22569_22556,Set65_24016_24007,Set65_24017_24008,Set65_24018_24009,Set65_24019_24010,Set65_24022_24013,Set65_24024_24015,Set65_25733_25718,Set65_25734_25719,Set65_25735_25720,Set65_25736_25721,Set65_25737_25722,Set65_25738_25723,Set65_25739_25724,Set65_25741_25726,Set65_25742_25727,Set65_25743_25728,Set65_25744_25729,Set65_25746_25731,Set65_26327_26321,Set65_26328_26322,Set65_26329_26323,Set65_26330_26324,Set65_26331_26325,Set65_26332_26326,Set65_26340_26336,Set65_26341_26337,Set65_26342_26338,Set65_26343_26339,Set65_26490_26484,Set65_26491_26485,Set65_26493_26487,Set65_26495_26489,Set65_34086_34071,Set65_34088_34072,Set65_34092_34074,Set65_34098_34077,Set65_34100_34078,Set65_34102_34079,Set65_34106_34081,Set65_34108_34082,Set65_34110_34083,Set65_34705_34696,Set65_34711_34699,Set65_34715_34701,Set65_34717_34702,Set65_35449_35438,Set65_35455_35441,Set65_35457_35442,Set65_35459_35443,Set65_35461_35444,Set65_35463_35445,Set65_35465_35446,Set65_35467_35447,Set65_35469_35448
204859_s_at,grey,22.65396792,6.517574005,16.13639392,APAF1,317,0.168,0.834,0.478,1.45,0.284,0.219,1.48,0.88,2.48,0.264,204.366,285.864,211.717,225.921,306.274,129.616,162.054,239.695,172.233,251.24,289.229,221.394,298.161,218.646,83.2293,197.284,166.616,269.863,258.682,351.055,292.264,213.571,246.968,272.636,189.678,274.355,209.877,312.881,276.057,163.692,162.352,282.423,200.538,229.791,119.142,258.949,317.505,181.092,267.664,205.12,224.135,234.087,167.227,336.335,420.509,283.873,346.951,242.997,203.392,224.897,241.442,237.413,277.392,265.358,286.7,174.461,234.199,243.892,266.714,276.329,167.025,184.008,128.628,249.806,290.332,216.698,290.077,119.102,185.721,225.832,118.968,304.181,118.426,80.4873,107.015,187.625,185.921,99.46,181.271,149.98,231.255,84.5653,252.856,101.362,209.13,212.474,149.928,203.622,132.124,169.385,319.578,204.994,240.093,254.848,409.605,186.091,199.184,229.963,119.286,106.243,107.075,183.184,183.26,130.665,136.556,138.475,94.1919,216.053,143.646,196.86,198.938,112.483,226.765,278.441,198.822,195.141,200.028,251.695,255.091,137.524
204861_s_at,blue,57.96265284,49.39490777,8.56774507,BIRC1,4671,0.565,0.733,0.42,1.28,0.284,0.841,1.43,0.843,2.42,0.269,344.273,413.577,543.673,687.77,611.325,135.938,198.102,161.251,331.126,272.141,398.777,225.151,582.396,366.864,202.729,299.548,145.703,299.933,506.636,333.197,517.937,235.972,356.136,242.366,271.777,402.564,281.744,916.63,392.795,246.286,177.191,690.982,267.67,235.196,257.426,546.301,607.946,237.569,166.831,207.952,214.588,385.882,215.605,442.048,324.774,355.371,524.865,257.027,399.071,314.721,316.198,188.161,859.119,507.94,500.657,102.219,315.557,170.57,673.205,546.836,15.977,252.293,125.13,370.278,402.578,292.607,585.555,145.129,259.634,60.4171,291.226,417.823,149.393,141.816,128.765,197.816,206.76,106.572,212.609,60.6135,184.526,135.071,257.86,135.333,182.808,284.99,262.663,114.149,83.0809,138.803,221.645,279.385,353.767,396.915,190.531,664.587,266.814,263.977,241.031,153.567,175.359,287.935,325.154,224.833,133.234,175.532,241.099,241.488,210.876,175.776,528.22,226.004,468.945,256.16,345.785,301.575,418.654,346.039,563.374,329.005
204866_at,grey,10.12620785,7.202725229,2.923482623,PHF16,9767,0.285,0.935,0.535,1.63,0.285,0.726,0.698,0.416,1.17,0.264,125.406,149.315,192.28,88.0873,160.102,158.328,150.896,171.194,110.659,362.855,187.925,230.717,265.229,123.713,62.834,216.411,109.305,117.528,182.582,164.058,120.376,123.523,93.2378,96.2995,104.408,77.901,130.871,97.0249,133.02,58.3237,129.762,53.8054,174.601,110.081,112.034,106.414,126.166,147.724,151.58,143.428,288.843,227.355,97.4797,301.525,451.107,150.702,305.907,176.285,271.779,73.9679,178.877,114.4,141.249,191.894,113.799,147.435,151.731,87.1223,76.6602,223.285,137.16,75.0404,105.559,98.7167,184.057,98.6239,93.1299,103.351,73.0586,73.9527,110.349,113.87,57.507,46.3936,126.946,63.987,95.726,150.098,228.559,340.411,179.984,255.746,260.321,60.1635,90.0055,271.223,56.096,152.086,52.1375,74.0767,317.97,100.507,168.916,268.835,98.1143,152.973,139.155,150.166,115.745,99.5829,95.453,89.506,107.589,122.885,66.3769,93.1545,74.6879,76.0793,79.2718,77.1494,54.0412,91.4551,153.703,123.34,95.6824,80.8016,77.2424,113.628,111.01,117.603
204868_at,grey,10.50249798,6.968508849,3.533989135,ICT1,3396,0.0865,1.93,1.07,3.46,0.298,0.00586,1.8,1.07,3.01,0.263,175.024,278.988,282.278,211.974,306.191,184.581,149.092,348.935,319.983,246.648,121.239,305.193,266.77,231.173,199.207,234.544,185.367,220.422,174.9,311.213,218.133,209.646,216.32,168.054,183.146,223.68,175.27,239.362,275.399,240.147,283.601,229.878,363.093,250.525,147.347,282.156,435.724,193.307,472.852,372.94,459.96,269.19,281.089,188.881,346.608,244.918,183.587,280.676,197.349,224.012,141.711,259.953,165.657,248.689,231.986,513.112,281.052,265.045,206.538,262.862,350.866,265.89,128.446,158.004,166.458,180.964,226.516,176.508,162.466,164.875,194.027,222.143,225.007,152.961,158.776,212.709,177.578,215.141,173.729,181.379,170.801,128.138,209.751,145.287,284.01,160.906,184.211,256.508,182.821,155.527,137.684,209.51,185.044,136.098,137.778,195.186,216.105,292.009,254.012,499.706,168.545,204.275,264.731,267.204,336.806,204.648,157.393,788.057,102.417,269.912,276.244,191.312,332.327,243.471,238.493,304.75,274.842,250.438,193.227,192.672
204870_s_at,turquoise,183.0198371,159.3674951,23.65234197,PCSK2,5126,0.193,1.43,0.815,2.49,0.285,0.422,0.748,0.449,1.25,0.261,389.84,24.6827,58.751,282.641,61.1692,624.452,245.623,31.3566,50.5224,294.913,354.324,186.228,333.926,203.498,294.814,251.139,246.009,68.6503,24.6827,131.192,63.9101,153.252,41.0923,24.6827,423.212,24.6827,40.9295,24.6827,66.893,250.548,175.052,24.6827,529.211,24.6827,507.569,24.6827,24.6827,348.752,294.428,487.189,582.621,24.6827,923.379,32.3836,79.2057,24.6827,126.211,44.2645,24.6827,24.6827,347.652,24.6827,25.935,88.764,24.6827,22.6054,15.977,15.977,15.977,43.7978,15.977,15.977,457.679,15.977,15.977,15.977,16.9408,541.056,15.977,15.977,493.094,15.977,15.977,694.484,53.1687,33.0315,264.168,798.055,22.2272,309.768,15.977,717.391,62.5634,611.838,15.977,265.164,34.7683,22.7392,256.091,15.977,78.1761,15.977,378.622,64.0024,130.972,24.2882,15.977,39.5448,45.5763,274.905,145.835,15.977,15.977,36.7597,241.144,146.139,250.228,15.977,15.977,15.977,15.977,335.155,15.977,17.1917,15.977,15.977,15.977,26.8961,31.2056,250.341
204872_at,green,21.28227109,5.78499018,15.49728091,TLE4,7091,0.386,1.09,0.624,1.9,0.284,0.382,0.713,0.428,1.19,0.26,811.441,546.675,749.809,511.069,743.637,654.358,578.074,664.271,461.682,530.264,589.486,684.309,770.39,773.2,820.173,457.737,889.521,374.445,557.633,498.988,615.533,599.089,579.67,697.952,696.776,520.149,489.077,614.921,624.408,513.619,572.667,421.705,695.701,617.957,850.447,853.929,484.7,1026.12,729.959,829.119,641.145,661.486,870.261,671.114,631.962,390.802,511.227,626.38,691.662,569.223,428.098,550.218,864.413,432.885,581.656,430.777,680.795,370.164,428.739,410.418,568.393,455.923,757.644,417.774,502.089,435.942,426.462,668.355,605.25,436.198,817.199,581.055,397.789,670.947,559.188,770.09,566.972,577.208,411.019,496.948,461.74,453.277,509.147,668.433,728.209,490.951,410.434,620.331,561.892,377.816,610.576,433.804,510.218,489.277,609.927,600.301,477.845,467.135,660.495,522.145,605.835,394.646,376.981,582.659,450.965,579.238,535.446,606.172,617.219,506.967,500.513,685.659,482.993,516.357,581.991,496.138,587.1,594.491,579.419,721.24
204881_s_at,blue,19.41669602,9.712169392,9.704526626,UGCG,7357,0.528,1.11,0.635,1.94,0.286,0.447,0.853,0.512,1.42,0.26,691.586,1059.48,733.486,2370.72,1856.16,595.2,740.232,1392.37,1365.03,686.075,512.899,482.373,271.854,669.207,507.395,512.174,380.33,1012.08,832.735,669.799,669.516,692.313,1757.83,1766.34,592.171,968.297,233.418,1406.23,904.958,692.642,331.478,523.139,555.873,1416.4,591.64,1663.76,1009.64,442.792,947.607,793.474,689.356,581.515,287.962,531.897,567.734,555.369,399.36,482.274,421.627,639.42,242.123,728.617,823.833,554.904,802.667,1107.6,743.457,816.177,1215.43,522.963,909.71,1182.57,341.256,1612.38,486.785,773.313,789.077,611.305,1183.49,579.845,603.822,1005.65,924.558,414.086,1005.41,762.742,431.489,318.957,577.64,317.352,996.799,331.17,942.093,535.293,708.757,334.408,1097.38,322.944,469.66,2687.69,334.073,692.342,404.607,546.926,912.488,1164.05,1019.23,1611.17,716.477,424.463,299.249,509.045,540.555,518.071,871.336,870.564,334.073,1233.24,220.518,521.641,646.365,133.208,323.006,194.528,442.461,515.239,360.918,964.853,650.474,203.905
204882_at,blue,68.18705952,57.80691376,10.38014576,ARHGAP25,9938,0.757,0.751,0.429,1.32,0.286,0.687,1.16,0.696,1.93,0.261,129.92,124.413,185.981,246.652,195.534,45.6804,68.6439,227.676,130.71,108.799,61.2751,41.7708,53.0485,164.531,78.1289,44.0052,97.7493,125.69,152.708,109.127,150.381,75.1515,131.053,118.862,172.611,110.916,173.71,358.427,148.026,71.3759,52.3842,274.696,86.549,178.142,133.643,232.819,238.526,113.174,67.2096,93.9653,148.942,211.872,60.2482,157.57,121.728,100.753,167.889,127.851,166.798,101.643,42.9219,58.4077,294.892,90.7557,190.008,67.1055,290.899,114.313,155.479,82.7223,107.41,117.246,24.7592,161.825,110.121,156.389,251.684,63.6122,38.7104,63.312,65.7908,191.071,86.8472,55.5847,69.8209,125.482,44.707,23.4054,30.6024,28.472,19.433,22.3481,31.9883,31.3891,48.8987,39.6849,80.6357,74.3852,49.0568,294.702,44.1478,210.397,54.4996,34.3428,15.977,44.8341,53.0327,170.057,150.97,56.5886,261.617,209.092,111.836,105.686,160.961,103.613,137.525,108.521,57.6026,109.53,432.123,75.9443,149.262,217.967,168.157,126.824,197.711,178.386,257.309,70.5645
204908_s_at,grey,64.61858308,28.46019429,36.15838879,BCL3,602,0.931,0.977,0.559,1.71,0.285,0.269,1.77,1.06,2.96,0.263,95.2672,326.507,96.6161,626.818,733.057,40.3263,82.8983,136.468,595.911,91.8726,84.0332,148.406,33.5679,156.596,113.789,113.317,50.538,127.333,285.762,269.48,245.174,50.5934,612.739,1382.02,109.911,394.483,114.084,728.025,205.766,232.849,160.268,686.929,101.805,390.37,74.7884,394.672,550.358,60.2947,179.312,96.5504,100.414,132.609,57.9588,113.711,118.897,207.764,144.924,94.1525,112.78,397.02,82.6294,66.569,403.642,181.943,362.515,231.366,343.472,651.935,550.614,200.78,80.9011,563.543,34.1158,791.62,163.926,186.501,203.878,81.0269,196.396,182.027,23.3667,1438.78,791.934,127.424,187.669,197.697,152.015,26.8229,142.629,48.405,262.417,34.7341,118.135,42.3376,230.874,22.0132,522.699,233.974,103.538,789.236,83.1494,860.524,115.793,130.212,209.38,152.728,105.585,322.547,51.5567,80.4333,209.794,288.268,430.286,56.6277,431.448,118.129,87.0359,573.822,112.268,311.743,439.427,61.7969,283.603,179.791,458.128,405.093,422.354,322.54,663.347,56.6084
204912_at,blue,132.6197115,117.1642346,15.45547687,IL10RA,3587,0.623,0.9,0.516,1.57,0.284,0.857,1.42,0.858,2.36,0.258,150.697,215.536,237.522,870.273,491.845,101.035,93.9432,114.502,309.983,214.025,204.526,117.055,81.8414,257.522,147.637,93.7943,154.367,243.204,298.346,161.002,368.605,86.8051,239.174,210.652,116.095,191.671,98.1553,970.028,211.647,166.673,121.336,792.53,133.648,200.823,220.817,420.433,628.642,77.0409,103.896,124.988,92.8265,246.096,84.9326,221.469,115.984,173.007,310.432,118.409,199.414,184.093,92.5645,146.466,564.652,191.52,402.189,232.462,258.663,148.608,376.532,190.667,73.4818,205.027,65.4436,430.912,175.186,124.58,599.39,69.4189,125.23,47.0775,75.8865,463.245,370.561,60.0581,116.867,270.453,95.7276,61.7762,238.737,41.9553,190.323,51.751,119.527,75.7882,166.618,75.6872,135.324,108.309,107.776,142.344,48.8711,153.934,103.429,97.3967,44.4296,160.883,116.444,263.843,176.453,55.4833,106.123,645.77,163.79,166.937,127.672,119.357,106.766,196.826,106.441,182.175,799.445,120.735,320.474,74.239,392.992,177.625,465.562,250.597,770.333,84.7938
204915_s_at,brown,19.19417621,10.93615006,8.258026149,SOX11,6664,0.482,1.04,0.594,1.82,0.285,0.712,1.11,0.665,1.85,0.262,90.9166,1531.3,1443.91,116.369,885.62,1346.28,991.454,435.46,558.259,685.586,1380.37,2138.39,1025.7,242.219,24.6827,2378.17,46.6208,1082.76,117.237,2241.88,612.634,551.061,873.032,165.502,237.105,44.3361,316.443,33.416,2210.54,231.122,1671.8,29.4596,477.632,306.439,65.1501,356.23,327.493,166.898,2404.67,125.252,1954.9,975.711,74.9444,342.382,2339.53,499.03,991.66,574.642,534.288,437.634,512.608,406.184,326.314,1898.88,185.398,949.17,869.401,178.004,1335.06,1265.26,1095.75,383.291,95.5425,743.854,871.06,251.936,57.9851,88.1354,149.602,1038.75,85.7134,361.427,124.325,32.7931,1877.43,173.159,1623.07,704.687,2860.5,904.431,1358.54,1537.87,1493.94,52.3072,3635.86,1621.47,862.83,585.892,87.7153,29.9305,3090.64,353.455,938.811,1172,3343.15,1043.57,283.77,1947.44,954.625,2941.25,172.06,115.65,1651.54,674.691,812.042,738.325,35.4597,494.399,363.534,276.173,91.4698,556.574,912.032,1160.01,277.437,292.803,71.2152,789.6,478.622,2087.44
204923_at,blue,75.84042991,65.20812086,10.63230905,CXorf9,54440,0.461,0.663,0.379,1.16,0.284,0.328,1.13,0.679,1.89,0.261,223.958,254.835,282.697,485.904,328.862,128.963,169.889,179.803,235.773,245.449,211.578,146.066,168.89,337.103,275.551,191.9,231.724,232.054,297.725,214.799,376.438,185.594,290.171,263.376,242.954,282.228,219.536,521.576,254.953,202.833,143.749,393.298,180.038,249.456,286.161,405.956,303.166,216.755,136.524,157.15,149.92,408.262,140.786,358.934,151.246,215.225,323.34,223.25,352.649,299.029,133.591,167.004,675.95,244.732,357.192,282.004,289.076,232.527,325.378,180.673,165.554,235.398,147.068,301.164,187.006,245.01,448.064,81.701,142.75,74.5787,111.98,302.774,255.525,108.193,161.439,267.981,132.425,106.393,110.914,109.977,119.756,81.8022,89.5032,71.9505,137.783,99.4268,165.627,135.744,121.165,170.49,124.222,141.647,124.004,120.349,78.9303,175.483,146.266,267.063,439.892,117.409,428.767,731.48,430.622,273.455,160.413,212.84,405.552,176.837,150.868,271.103,713.469,161.836,204.174,154.694,297.06,231.837,413.071,237.52,533.89,187.915
204924_at,blue,125.9141259,103.3048023,22.60932359,TLR2,7097,0.969,0.878,0.503,1.53,0.284,0.664,1.06,0.638,1.75,0.258,215.983,419.328,354.627,1158.21,750.76,113.533,204.746,179.178,515.319,343.951,327.061,121.931,113.403,561.331,259.544,190.674,197.856,191.8,709.712,222.437,562.086,269.292,474.515,475.969,270.265,484.746,226.784,828.719,363.761,351.255,187.435,1029.13,175.212,399.466,225.594,534.633,640.427,130.207,177.855,157.852,156.524,452.937,120.423,438.356,131.615,249.215,754.855,251.044,229.757,399.367,101.468,187.501,746.341,375.048,558.617,185.921,282.145,335.1,995.88,284.165,92.6195,337.784,66.1297,1177.04,256.647,203.969,849.999,90.3295,196.38,45.6102,123.22,466.754,464.683,173.092,254.051,507.771,157.011,89.333,189.3,67.9073,477.584,252.723,225.685,92.8279,294.263,33.0154,363.698,202.038,178.131,641.989,66.4195,468.571,73.9415,50.8994,37.7924,108.644,180.329,464.31,415.713,166.21,650.608,1096.41,598.87,283.772,304.217,259.738,299.266,292.222,350.656,711.619,772.88,111.021,365.561,132.702,573.783,515.61,707.211,444.632,912.023,142.233
204928_s_at,grey,74.61688221,37.6265405,36.9903417,SLC10A3,8273,0.273,0.96,0.551,1.67,0.283,0.232,1.65,0.981,2.79,0.267,95.1667,157.25,115.429,173.654,197.55,53.5939,58.1325,79.9138,165.904,54.9543,72.3485,101.897,84.3365,131.334,83.9116,59.4027,74.8941,148.652,556.958,103.032,159.839,77.85,139.445,235.062,52.8228,117.105,86.6997,300.464,77.1368,157.417,55.5395,417.835,124.966,165.885,55.9415,204.786,344.641,83.2573,121.982,108.58,125.923,132.824,66.7517,118.666,175.013,158.876,148.34,85.2192,109.822,143.669,34.9465,95.0845,201.119,96.1325,233.008,265.136,127.971,176.127,145.941,105.422,72.5566,218.514,25.0404,238.691,90.174,76.2782,268.59,45.8985,87.7736,43.5331,70.4813,258.841,97.2766,67.8228,75.0907,84.235,45.5107,25.8265,51.5196,27.8931,73.3747,45.3515,88.4667,56.0122,72.56,28.2814,107.029,69.8138,118.586,347.376,27.3648,144.248,45.5376,31.4016,52.0495,56.7655,83.2088,81.0502,55.7501,81.7321,60.082,217.291,141.428,70.9882,137.175,74.6764,66.7027,137.177,129.186,164.711,161.086,39.9496,157.175,81.7385,172.811,148.206,172.976,97.7244,140.477,27.7961
204929_s_at,blue,80.28795535,45.94403522,34.34392014,VAMP5,10791,0.914,1.05,0.602,1.84,0.285,0.145,1.32,0.788,2.2,0.263,171.265,498.856,178.302,279.05,411.585,34.8733,64.7313,142.46,308.63,93.0014,41.6291,52.4365,29.1139,235.481,148.987,29.3258,97.2423,93.2495,277.991,156.59,265.747,172.848,250.685,406.415,239.767,119.018,156.944,515.164,191.757,367.328,186.617,524.864,59.108,309.324,111.685,471.279,442.858,146.626,85.6199,104.909,134.501,185.783,79.8791,278.71,99.605,325.355,152.191,162.891,173.777,170.234,26.5015,336.47,450.038,193.483,315.914,354.39,182.48,460.511,796.481,216.756,99.2813,370.738,15.977,151.588,81.3386,139.028,467.273,88.8013,115.279,98.4899,73.2513,408.374,298.933,74.4181,106.235,213.169,99.1248,25.2264,94.496,15.977,80.3972,27.3369,56.3036,25.8542,122.348,15.977,316.223,64.3844,119.34,608.118,17.8607,378.192,52.4948,33.3227,117.031,47.1081,108.759,343.007,93.7918,92.7166,57.3278,747.306,170.978,125.884,445.989,181.968,128.535,198.96,222.693,239.08,252.01,98.5295,333.597,369.041,438.114,574.955,568.847,238.592,264.861,73.4897
204945_at,turquoise,78.14430306,59.54437858,18.59992448,PTPRN,5798,0.273,1.29,0.736,2.27,0.287,0.931,1.04,0.622,1.72,0.26,433.971,206.733,183.292,290.309,141.34,330.627,363.43,201.914,217.867,307.741,321.591,306.79,279.343,417.297,517.817,197.358,408.044,169.748,258.937,184.441,253.083,235.341,260.653,153.401,423.29,171.369,190.4,173.218,214.429,319.253,281.161,181.083,281.918,247.656,603.764,275.472,195.853,468.357,211.207,326.881,324.392,227.729,639.536,185.927,203.458,227.203,260.256,186.05,254.377,190.328,352.634,152.197,162.113,234.224,181.953,198.807,135.847,127.313,309.122,124.197,117.457,173.907,634.847,130.918,128.731,175.985,110.255,566.754,87.8292,104.808,543.949,121.283,125.3,583.041,171.752,137.483,189.042,324.055,149.114,148.775,91.8044,126.007,99.7724,425.132,151.097,139.516,440.84,201.233,438.123,166.28,156.557,225.318,469.506,357.511,219.736,214.931,164.638,201.192,208.011,461.974,342.512,150.947,174.3,162.649,158.693,263.459,587.138,130.845,172.307,154.52,149.466,385.111,168.302,210.586,292.75,200.452,270.362,155.066,241.237,299.251
204949_at,blue,93.52129837,68.1567817,25.36451666,ICAM3,3385,0.583,1.16,0.66,2.02,0.286,0.814,1.33,0.791,2.23,0.264,96.8339,132.988,99.9847,336.618,139.98,61.0599,50.7336,167.868,194.51,54.8968,36.9312,60.9723,50.5723,81.339,105.425,33.7801,90.9905,99.24,198.292,101.461,116.359,100.212,160.124,258.795,116.074,120.387,114.229,504.025,89.3921,203.775,80.3944,287.167,70.0187,120.378,128.682,193.543,239.209,51.5213,76.03,57.1812,89.2196,120.709,113.804,80.6508,45.0621,85.4044,53.1598,89.5918,44.6231,267.246,33.8792,61.434,118.848,48.1601,216.017,232.8,168.241,252.467,223.127,154.023,162.587,193.67,49.7314,309.211,142.455,222.492,217.368,93.5995,72.0063,73.3894,73.4185,183.833,81.2768,56.468,38.1656,95.2554,63.9051,34.5676,39.3748,23.2866,32.5349,15.977,45.2952,56.0673,61.833,22.6998,56.2772,55.8318,83.8822,158.94,75.2219,140.361,65.465,64.0227,118.628,44.7591,115.951,161.692,70.8359,33.6642,571.204,269.446,150.477,123.108,119.458,94.9473,143.233,121.15,142.45,237.796,250.654,80.6202,107.324,165.95,219.388,98.9189,136.815,156.913,168.003,49.74
204953_at,turquoise,254.5575064,219.3125643,35.24494209,SNAP91,9892,0.665,1.1,0.63,1.93,0.286,0.464,0.807,0.486,1.34,0.258,1436.41,197.493,172.928,513.275,205.167,1646.9,715.247,84.9876,80.7941,684.728,688.622,369.113,433.939,672.971,1193.74,397.641,899.614,77.2769,24.6827,111.024,218.831,318.263,89.2383,24.6827,740.593,24.6827,91.5911,24.6827,220.538,623.139,428.322,24.6827,1353.13,24.6827,1246.49,24.6827,53.9215,985.533,445.476,1729.85,1250.66,173.746,2014.89,183.349,50.6561,58.815,581.962,63.7406,362.617,24.6827,877.985,24.6827,263.175,150.424,24.6827,47.7138,33.5849,16.4937,183.608,15.977,189.714,72.0137,1674.86,15.977,27.8217,15.977,32.9096,2355.9,53.4643,15.977,2425.85,25.8422,15.977,1837.82,25.8822,173.685,76.3332,1216.86,189.78,402.572,377.947,768.688,390.109,2815.98,72.264,806.948,173.818,56.8732,1164.31,23.4325,493.704,20.417,1102.82,1131.14,43.5025,216.259,15.977,309.156,178.78,901.462,599.684,15.977,15.977,128.422,29.8637,377.462,700.483,15.977,15.977,27.7724,46.8147,854.104,15.977,45.948,43.7842,56.2889,15.977,44.3479,87.8518,484.236
204957_at,grey,12.57819401,8.5164124,4.061781611,ORC5L,5001,0.764,1.15,0.655,2.02,0.288,0.867,1.63,0.975,2.72,0.262,232.135,357.459,214.033,150.893,296.142,179.441,209.16,205.828,296.384,218.035,318.533,287.509,241.195,180.238,162.279,296.425,190.78,249.329,222.877,300.823,193.707,288.057,285.768,227.661,201.676,214.019,247.254,172.369,265.439,236.417,211,174.347,325.466,316.073,213.564,325.009,458.646,241.515,544.503,440.846,468.685,289.92,393.24,226.296,523,357.3,325.434,298.699,179.635,284.324,216.453,354.414,188.1,317.032,237.959,252.71,221.65,264.412,323.046,261.356,103.788,270.009,241,262.185,250.116,260.747,207.78,226.563,126.428,202.815,182.671,221.938,113.979,158.583,150.136,165.266,369.858,155.057,163.01,207.01,155.469,120.491,226.044,194.676,203.036,241.621,249.151,315.724,211.867,175.678,144.49,223.017,201.461,195.554,265.898,187.433,213.253,273.617,124.776,218.664,141.546,236.691,513.446,164.186,183.358,210.004,127.155,195.347,578.703,317.031,184.212,186.853,309.17,384.363,268.495,229.177,249.352,358.029,174.443,146.203
204958_at,blue,64.74885797,31.86343801,32.88541995,PLK3,1263,0.971,1.02,0.583,1.78,0.285,0.2,1.36,0.815,2.27,0.261,183.258,224.841,180.867,271.644,343.017,81.7233,111.89,185.166,211.921,123.119,103.13,103.541,103.516,166.802,130.637,124.74,189.738,181.501,237.45,172.271,269.539,128.742,350.759,553.424,167.451,356.859,225.389,239.377,194.885,261.753,201.15,677.167,158.005,255.876,212.762,297.115,405.139,124.005,106.428,126.465,149.199,230.964,112.419,231.784,138.928,253.965,203.213,214.227,152.818,182.258,82.2796,249.685,386.827,159.513,252.566,276.193,265.688,256.491,448.596,176.249,166.237,514.88,74.3132,537.031,226.169,153.614,556.982,134.711,246.879,89.0336,110.858,185.337,289.593,154.824,72.2334,216.377,55.3242,52.0226,111.043,43.0829,118.992,39.2456,59.5187,65.0521,193.638,45.3983,201.212,83.085,134.2,342.824,118.262,288.478,74.3626,85.3824,315.768,187.862,194.773,216.184,189.025,107.104,113.687,412.388,359.761,136.745,206.333,147.957,180.742,371.487,256.731,214.471,391.754,70.0673,140.262,126.888,267.58,658.724,406.476,284.292,415.457,53.1844
204959_at,blue,104.5941182,92.72987374,11.8642445,MNDA,4332,0.888,0.655,0.375,1.14,0.284,0.948,1.4,0.836,2.34,0.262,153.941,255.486,257.363,493.198,300.198,67.7551,80.7733,130.708,198.149,233.941,118.779,72.5269,40.1893,285.177,140.049,84.9058,147.323,113.47,280.899,180.289,152.433,105.386,204.583,265.914,160.2,224.143,122.079,629.44,118.053,106.931,98.1316,544.006,117.361,156.918,235.496,442.629,487.465,100.517,104.903,127.978,162.163,322.22,113.312,267.884,82.1482,180.173,215.303,134.28,215.339,205.992,38.7171,110.967,722.498,161.491,252.868,234.604,190.359,146.256,512.675,69.1322,17.0288,169.01,41.8069,458.268,133.098,148.487,422.063,46.0322,15.977,15.977,56.1901,278.986,298.566,70.9986,102.19,178.317,69.4905,19.3699,50.1803,15.977,106.686,21.7969,32.0025,125.285,90.0641,15.977,63.2068,70.7017,56.4409,327.702,30.0283,162.413,41.931,32.2009,15.977,62.1821,88.243,261.571,144.492,32.9995,1120.52,198.277,298.718,146.391,118.551,104.384,338.592,126.462,106.591,194.626,327.468,53.6371,200.163,43.2956,205.28,168.751,443.668,117.204,388.127,84.3662
